sigla,p6_entregas,p7_riscos,passos_cobertos,score_completude
21,12,0,1,0.1
ABIN,20,0,1,0.1
AEB,63,0,1,0.1
AGU,39,7,2,0.2
ANA,86,1,2,0.2
ANAC,125,5,2,0.2
ANATEL,59,6,2,0.2
ANCINE,142,15,2,0.2
ANEEL,68,12,2,0.2
ANEXO,55,0,1,0.1
ANM,263,22,2,0.2
ANPD,67,13,2,0.2
ANS,42,0,1,0.1
ANTAQ,52,26,2,0.2
ANVISA,472,2,2,0.2
BCB,73,5,2,0.2
CADE,42,5,2,0.2
CGU,34,10,2,0.2
CNPQ,24,9,2,0.2
COAF,29,0,1,0.1
CVM,33,4,2,0.2
DNOCS,78,22,2,0.2
FBN,62,6,2,0.2
FCP,30,7,2,0.2
FCRB,40,16,2,0.2
FIOCRUZ,61,6,2,0.2
FUNAI,29,15,2,0.2
FUNARTE,80,9,2,0.2
FUNDACENTR,12,3,2,0.2
IBGE,46,0,1,0.1
INCRA,19,15,2,0.2
INPI,30,3,2,0.2
INSS,85,0,1,0.1
IPHAN,119,14,2,0.2
ITI,37,14,2,0.2
MAPA,144,8,2,0.2
MCTI,62,15,2,0.2
MD,292,0,1,0.1
MDA,79,5,2,0.2
MDHC,112,11,2,0.2
MDIC,73,0,1,0.1
MEC,18,12,2,0.2
MEMP,52,10,2,0.2
MESP,41,6,2,0.2
MF,405,8,2,0.2
MGI,327,29,2,0.2
MIDR,13,14,2,0.2
MINC,109,12,2,0.2
MJSP,154,9,2,0.2
MMA,363,17,2,0.2
MME,74,8,2,0.2
MMULHERES,14,0,1,0.1
MPI,60,6,2,0.2
MPO,29,9,2,0.2
MPOR,64,17,2,0.2
MPS,49,5,2,0.2
MRE,95,11,2,0.2
MT,51,0,1,0.1
MTE,58,6,2,0.2
MTUR,116,0,1,0.1
PF,163,18,2,0.2
PREVIC,149,0,1,0.1
PRF,223,0,1,0.1
SGPR,15,10,2,0.2
SUSEP,25,13,2,0.2
