sigla,arquivo,template,risco_desc,probabilidade,impacto,opcao_tratamento,n_acoes,acoes_refs,pdf_sha256,risco_id,tipo_doc,passo_ptd,passo_label,probabilidade_cat,impacto_cat,opcao_tratamento_cat
AGU,agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,livre,Perda de Recursos Humanos Terceiri ados,,,,2,"N2,N4",2cea12f35e0c5420cc333911f783d0b73acb340b17c3c001914cb2c56a2aff2c,0,doc_diretivo,7,Identificação de Riscos,,,
AGU,agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,livre,traso ou indisponibilidade nas ações interoperabilidade que envolvem outros parceiros,Pouco provável,,,4,"N1,N2,N7,N14",2cea12f35e0c5420cc333911f783d0b73acb340b17c3c001914cb2c56a2aff2c,1,doc_diretivo,7,Identificação de Riscos,Pouco provável,,
AGU,agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,livre,e remnfo ão de Sistemas,,,,0,,2cea12f35e0c5420cc333911f783d0b73acb340b17c3c001914cb2c56a2aff2c,2,doc_diretivo,7,Identificação de Riscos,,,
AGU,agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,livre,Risco de Conformidade com a LGPD Outras Normas de Segurança,,Alto,,0,,2cea12f35e0c5420cc333911f783d0b73acb340b17c3c001914cb2c56a2aff2c,3,doc_diretivo,7,Identificação de Riscos,,Alto,
AGU,agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,livre,Resiliência da Infraestrutura Sc,,Baixo,,0,,2cea12f35e0c5420cc333911f783d0b73acb340b17c3c001914cb2c56a2aff2c,4,doc_diretivo,7,Identificação de Riscos,,Baixo,
AGU,agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,livre,E des,,,,0,,2cea12f35e0c5420cc333911f783d0b73acb340b17c3c001914cb2c56a2aff2c,5,doc_diretivo,7,Identificação de Riscos,,,
AGU,agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,livre,Orçamento Insuficiente ou Repasse,,Alto,Mitigar,5,"N1,N3,N5,N7,N13",2cea12f35e0c5420cc333911f783d0b73acb340b17c3c001914cb2c56a2aff2c,6,doc_diretivo,7,Identificação de Riscos,,Alto,Mitigar
FIOCRUZ,fiocruz_novo-ptd_2-1_docdiretivo_repactuacao_2024-2026_assinado_assinado-copia_tarjada.pdf,livre,Não implantar os controles em todas as unidades,Muito provável,Alto,Mitigar,0,,e909520aab2d890f27a29bfeb3bc1bf937409a02b056371a0b1e5465afb2ba19,7,doc_diretivo,7,Identificação de Riscos,Muito provável,Alto,Mitigar
FIOCRUZ,fiocruz_novo-ptd_2-1_docdiretivo_repactuacao_2024-2026_assinado_assinado-copia_tarjada.pdf,livre,Atraso na implantação dos controles devido à complexidade institucional,Muito provável,Alto,Mitigar,0,,e909520aab2d890f27a29bfeb3bc1bf937409a02b056371a0b1e5465afb2ba19,8,doc_diretivo,7,Identificação de Riscos,Muito provável,Alto,Mitigar
FIOCRUZ,fiocruz_novo-ptd_2-1_docdiretivo_repactuacao_2024-2026_assinado_assinado-copia_tarjada.pdf,livre,Atraso na implantação dos controles devido à complexidade tecnológica institucional,Provável,Alto,Mitigar,0,,e909520aab2d890f27a29bfeb3bc1bf937409a02b056371a0b1e5465afb2ba19,9,doc_diretivo,7,Identificação de Riscos,Provável,Alto,Mitigar
FIOCRUZ,fiocruz_novo-ptd_2-1_docdiretivo_repactuacao_2024-2026_assinado_assinado-copia_tarjada.pdf,livre,Baixo engajamento das unidades na implantação dos controles,Provável,Alto,Mitigar,0,,e909520aab2d890f27a29bfeb3bc1bf937409a02b056371a0b1e5465afb2ba19,10,doc_diretivo,7,Identificação de Riscos,Provável,Alto,Mitigar
FIOCRUZ,fiocruz_novo-ptd_2-1_docdiretivo_repactuacao_2024-2026_assinado_assinado-copia_tarjada.pdf,livre,Não engajamento dos usuários na utilização dos controles,Provável,Média,Mitigar,0,,e909520aab2d890f27a29bfeb3bc1bf937409a02b056371a0b1e5465afb2ba19,11,doc_diretivo,7,Identificação de Riscos,Provável,,Mitigar
FIOCRUZ,fiocruz_novo-ptd_2-1_docdiretivo_repactuacao_2024-2026_assinado_assinado-copia_tarjada.pdf,livre,Atraso das demais áreas de TIC nos acordos estabelecidos para implantação dos controles;,Provável,Média,Mitigar,0,,e909520aab2d890f27a29bfeb3bc1bf937409a02b056371a0b1e5465afb2ba19,12,doc_diretivo,7,Identificação de Riscos,Provável,,Mitigar
FUNAI,funai_ptd_2025_2027_docdiretivo_assinado-1_tarjado.pdf,livre,Provável,Provável,,Mitigar,0,,ed1055eeaebe06ba6cf8d81592e1ae9f443635047e9c184a81c7b881efafcfc2,13,doc_diretivo,7,Identificação de Riscos,Provável,,Mitigar
FUNAI,funai_ptd_2025_2027_docdiretivo_assinado-1_tarjado.pdf,livre,Baixa padronização das informações exigidas dos cidadãos dificulta automação,,,,0,,ed1055eeaebe06ba6cf8d81592e1ae9f443635047e9c184a81c7b881efafcfc2,14,doc_diretivo,7,Identificação de Riscos,,,
FUNAI,funai_ptd_2025_2027_docdiretivo_assinado-1_tarjado.pdf,livre,Falta de capacitação dos servidores para uso das ferramentas.,Provável,,,0,,ed1055eeaebe06ba6cf8d81592e1ae9f443635047e9c184a81c7b881efafcfc2,15,doc_diretivo,7,Identificação de Riscos,Provável,,
FUNAI,funai_ptd_2025_2027_docdiretivo_assinado-1_tarjado.pdf,livre,Ferramentas disponíveis na instituição não atenderem a requisitos específicos de automação,Muito provável,,,0,,ed1055eeaebe06ba6cf8d81592e1ae9f443635047e9c184a81c7b881efafcfc2,16,doc_diretivo,7,Identificação de Riscos,Muito provável,,
FUNAI,funai_ptd_2025_2027_docdiretivo_assinado-1_tarjado.pdf,livre,Insegurança quanto ao uso de formulários digitais para emissão declarações oficiais de,Pouco provável,,,0,,ed1055eeaebe06ba6cf8d81592e1ae9f443635047e9c184a81c7b881efafcfc2,17,doc_diretivo,7,Identificação de Riscos,Pouco provável,,
FUNAI,funai_ptd_2025_2027_docdiretivo_assinado-1_tarjado.pdf,livre,Risco de dados sensíveis trafeggarem sem proteção adequada,Pouco provável,Alto,Mitigar,0,,ed1055eeaebe06ba6cf8d81592e1ae9f443635047e9c184a81c7b881efafcfc2,18,doc_diretivo,7,Identificação de Riscos,Pouco provável,Alto,Mitigar
