risco_id,sigla,acao_id,codigo
0,AGU,AGU__N2,N2
0,AGU,AGU__N4,N4
1,AGU,AGU__N1,N1
1,AGU,AGU__N2,N2
1,AGU,AGU__N7,N7
1,AGU,AGU__N14,N14
6,AGU,AGU__N1,N1
6,AGU,AGU__N3,N3
6,AGU,AGU__N5,N5
6,AGU,AGU__N7,N7
6,AGU,AGU__N13,N13
29,INCRA,INCRA__N1,N1
29,INCRA,INCRA__N2,N2
29,INCRA,INCRA__N9,N9
30,INCRA,INCRA__N7,N7
30,INCRA,INCRA__N11,N11
31,INCRA,INCRA__N16,N16
31,INCRA,INCRA__N19,N19
31,INCRA,INCRA__N18,N18
32,INCRA,INCRA__N12,N12
32,INCRA,INCRA__N13,N13
32,INCRA,INCRA__N20,N20
33,INCRA,INCRA__N4,N4
33,INCRA,INCRA__N1,N1
33,INCRA,INCRA__N10,N10
34,INCRA,INCRA__N8,N8
34,INCRA,INCRA__N1,N1
34,INCRA,INCRA__N9,N9
35,INCRA,INCRA__N6,N6
35,INCRA,INCRA__N7,N7
36,INCRA,INCRA__N3,N3
36,INCRA,INCRA__N11,N11
37,INCRA,INCRA__N15,N15
37,INCRA,INCRA__N5,N5
37,INCRA,INCRA__N16,N16
38,INCRA,INCRA__N15,N15
39,INCRA,INCRA__N2,N2
40,INCRA,INCRA__N6,N6
40,INCRA,INCRA__N17,N17
40,INCRA,INCRA__N18,N18
41,INCRA,INCRA__N19,N19
41,INCRA,INCRA__N5,N5
41,INCRA,INCRA__N3,N3
42,INCRA,INCRA__N20,N20
42,INCRA,INCRA__N12,N12
42,INCRA,INCRA__N1,N1
44,ITI,ITI__N7,N7
44,ITI,ITI__N12,N12
44,ITI,ITI__N13,N13
44,ITI,ITI__N18,N18
45,ITI,ITI__N1,N1
45,ITI,ITI__N2,N2
45,ITI,ITI__N3,N3
45,ITI,ITI__N9,N9
45,ITI,ITI__N10,N10
46,ITI,ITI__N1,N1
46,ITI,ITI__N3,N3
46,ITI,ITI__N9,N9
46,ITI,ITI__N11,N11
47,ITI,ITI__N1,N1
47,ITI,ITI__N2,N2
47,ITI,ITI__N3,N3
47,ITI,ITI__N9,N9
48,ITI,ITI__N1,N1
48,ITI,ITI__N3,N3
48,ITI,ITI__N5,N5
48,ITI,ITI__N10,N10
48,ITI,ITI__N11,N11
49,ITI,ITI__N4,N4
49,ITI,ITI__N5,N5
49,ITI,ITI__N8,N8
50,ITI,ITI__N1,N1
50,ITI,ITI__N11,N11
50,ITI,ITI__N15,N15
50,ITI,ITI__N19,N19
51,ITI,ITI__N16,N16
51,ITI,ITI__N17,N17
51,ITI,ITI__N19,N19
52,ITI,ITI__N16,N16
52,ITI,ITI__N17,N17
52,ITI,ITI__N20,N20
53,ITI,ITI__N18,N18
53,ITI,ITI__N19,N19
54,ITI,ITI__N2,N2
54,ITI,ITI__N3,N3
54,ITI,ITI__N9,N9
54,ITI,ITI__N10,N10
54,ITI,ITI__N11,N11
55,ITI,ITI__N15,N15
55,ITI,ITI__N16,N16
55,ITI,ITI__N17,N17
56,ITI,ITI__N1,N1
56,ITI,ITI__N3,N3
56,ITI,ITI__N9,N9
56,ITI,ITI__N11,N11
56,ITI,ITI__N18,N18
57,SGPR,SGPR__N7,N7
57,SGPR,SGPR__N9,N9
58,SGPR,SGPR__N6,N6
58,SGPR,SGPR__N9,N9
59,SGPR,SGPR__N10,N10
59,SGPR,SGPR__N11,N11
60,SGPR,SGPR__N4,N4
60,SGPR,SGPR__N12,N12
61,SGPR,SGPR__N3,N3
62,SGPR,SGPR__N4,N4
64,SGPR,SGPR__N8,N8
65,SGPR,SGPR__N1,N1
66,SGPR,SGPR__N1,N1
